model,params,eval_set,ppl_antes,ppl_depois,delta_ppl,ce_antes,ce_depois,tokacc_antes,tokacc_depois
gpt2,124M,heldout,75.232,59.929,-15.302,4.321,4.093,0.331,0.346
gpt2,124M,qa,151.544,126.184,-25.36,5.021,4.838,0.221,0.238
gpt2,124M,ood_docentes,49.154,48.336,-0.818,3.895,3.878,0.372,0.374
gpt2-medium,355M,heldout,53.366,40.069,-13.297,3.977,3.691,0.363,0.39
gpt2-medium,355M,qa,84.423,65.538,-18.884,4.436,4.183,0.281,0.304
gpt2-medium,355M,ood_docentes,34.259,33.893,-0.365,3.534,3.523,0.409,0.411
gpt2-large,774M,heldout,44.583,23.807,-20.776,3.797,3.17,0.383,0.455
gpt2-large,774M,qa,62.984,35.932,-27.051,4.143,3.582,0.308,0.372
gpt2-large,774M,ood_docentes,28.752,27.768,-0.985,3.359,3.324,0.429,0.432
