model,id,n_tokens,doc_ppl
base,0f9a8b41bd685940072c72bf7f09481d,1023,2.6468
base,510f94028be0811d4afd40b07435e16e,1023,4.0946
base,a8ac5e3794f5f465ab6a1593fdffb0d4,1023,6.7892
base,3e0d8438c42b3805f550a9ae472ff23d,1023,9.5519
base,44f08d6d1f49c5ab1107117be45a5147,1023,10.5344
base,c67448b7d33767abb04f2c290b4697cd,1023,8.2794
base,3d9c9fc9c9e69f2d74b05c63ff12a347,1023,9.88
base,aadf44dc723d9e29e42015fca4fa62ae,1023,12.3634
base,bb945d7518c45e159e52ac4a2bf3b64f,1023,4.0564
base,470ffde2a7373919d11fcbdf5f9fb32a,1023,3.5218
base,2418ce74bf9e0f1f0a3c2e374c71f96c,1023,12.4668
base,921fe5f12704b41704c7fbb7da55a1c2,1023,4.2574
base,1dd976fb9922568a65c3ed53eb14d85a,1023,8.9103
base,525e167502f622e0a37776243c26b96d,443,4.3355
base,c85e827522be94affd69f92143b5bf40,374,13.4705
base,2a36d912c4d7b26ee4080a9f10554536,1023,5.3698
base,c9ca5800a2f2abbc870d53f82de38fb4,517,6.0781
base,114dc73caf4bf3cf2e8294c1cea5e501,1023,10.6655
base,4c17d12bb4864c561dbe518d5b79be0d,1023,8.2264
base,f239db7688455adb991d4bd3bf6991d8,525,6.1069
base,9008e81fa58621f874f18718c25617b4,994,6.9988
base,86f6ec9300329f5df5978efab807f292,1023,13.4239
base,5125922f82619d47bf561aa70be6dc29,1023,9.0745
base,b57227211eba9d6b37db2137f579e5d0,1023,3.2905
base,d9faaf9504dac419f93d407d7c03cc81,1023,6.4221
base,7c2ddf8d7431928a60f2df2f328976f4,1023,6.9732
base,ddf01f0b9aad4b8e2a200a10a6dfead8,1023,12.1622
base,07ba5d939e300bf7d188107c65989bd3,1023,3.2585
base,250dc861c1c544522a2cdf3008eadce6,1023,8.3299
base,440bcf3e181ef112ddb70622dfd753fb,1023,6.3782
base,cc4dab4e27480a4cf275f25e2695620c,652,5.7881
base,a4b07e003c0734b7b36f07d79b256c46,1023,10.6319
base,102eef6dd968c77b3fced44b91fc9245,1023,9.993
base,f17aa5e01311ee73f39b3852f25f1d2a,1023,9.2579
base,98433cb1af6526dc9fe9f871a2dbb697,1023,7.6987
base,02c69ae369f8fe9a78d0605458083658,1023,6.5495
base,4924ab856d3a36fa9cf382fd7346bf8a,1023,3.4017
base,3c45d3c67707792d87215a2a4b0e190a,1023,4.8321
base,de795600808b8d8bc860f4c5b1352355,1023,10.0868
base,a0fb203fcbb2e4144b4ccd768fb81182,1023,7.0583
